Min Support (%)	Apriori Time (s)	FP-Growth Time (s)
2		16.3338		4.9659
4		3.2950		2.5199
6		1.1404		1.6104
8		0.6589		1.1482
10		0.5335		0.8156
12		0.3924		0.5804
14		0.2825		0.5491
16		0.1571		0.3611
18		0.1249		0.4463
20		0.0782		0.3407
22		0.0761		0.3262
24		0.0730		0.2426
26		0.0460		0.1951
28		0.0356		0.3134
30		0.0480		0.2061
32		0.0365		0.1696
34		0.0326		0.1731
36		0.0280		0.2451
38		0.0326		0.1465
40		0.0260		0.1411
42		0.0230		0.1115
44		0.0200		0.1151
46		0.0220		0.1085
48		0.0190		0.1859
50		0.0220		0.0796
52		0.0240		0.0765
54		0.0210		0.0703
56		0.0260		0.0692
58		0.0260		0.0716
60		0.0200		0.0615
62		0.0200		0.0596
64		0.0240		0.0726
66		0.0310		0.1476
68		0.0255		0.0530
70		0.0220		0.0674
72		0.0260		0.0655
74		0.0220		0.0565
76		0.0230		0.0485
78		0.0160		0.0450
80		0.0170		0.0485
82		0.0170		0.0445
84		0.0170		0.0470
86		0.0180		0.0485
88		0.0170		0.0455
90		0.0210		0.0480
92		0.0215		0.1285
94		0.0180		0.0390
96		0.0165		0.0390
98		0.0170		0.0385
100		0.0170		0.0490
